"country","disease","recommendation","source_url"
"Afghanistan","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Cholera","Active cholera transmission is widespread in Afghanistan. Cholera is rare in travelers. Certain factors may increase the risk of getting cholera or having severe disease (more information). Avoiding unsafe food and water and washing your hands can also help prevent cholera. Vaccination may be considered for children and adults who are traveling to areas of active cholera transmission.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to Afghanistan. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Hepatitis B","Recommended for unvaccinated travelers younger than 60 years old traveling to Afghanistan. Unvaccinated travelers 60 years and older may get vaccinated before traveling to Afghanistan.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Malaria","CDC recommends that travelers going to certain areas of Afghanistan take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take. Transmission areas All areas <2,500 m (<8,200 ft) elevation (April–December) Drug resistance1 Chloroquine Species P. vivax (primarily) P. falciparum (less commonly) Recommended chemoprophylaxis Atovaquone-proguanil, doxycycline, mefloquine, tafenoquine2 Updated April 23, 2025 See footnotes","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Polio","In Afghanistan, poliovirus has been identified in the past year. Travelers to Afghanistan are at increased risk of exposure to poliovirus. Vaccine recommendations: Adults traveling to Afghanistan who received a complete polio vaccination series as children may receive a single lifetime booster dose of inactivated polio vaccine; travelers who are unvaccinated or not fully vaccinated should receive a complete polio vaccination series before travel. Children who are not fully vaccinated will be considered for an accelerated vaccination schedule.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Rabies","Dogs infected with rabies are commonly found in Afghanistan. If rabies exposures occur while in Afghanistan, rabies vaccines are typically not readily available. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Typhoid","Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Afghanistan","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Vaccine is not required. Updated April 23, 2025","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Albania","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to Albania. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to Albania.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Rabies","Dogs infected with rabies are not commonly found in Albania. If rabies exposures occur while in Albania, rabies vaccines are typically available throughout most of the country. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Albania","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Direct travel from United States: Vaccine is not required. Travel from countries with risk for YF virus transmission: Vaccine is required for travelers ≥1 year old.3 Updated April 23, 2025 See footnotes","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Algeria","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Cholera","There is no longer active cholera transmission and vaccine is not recommended.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to Algeria. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Hepatitis B","Recommended for unvaccinated travelers younger than 60 years old traveling to Algeria. Unvaccinated travelers 60 years and older may get vaccinated before traveling to Algeria.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Polio","In Algeria, poliovirus has been identified in the past year. Travelers to Algeria are at increased risk of exposure to poliovirus. Vaccine recommendations: Adults traveling to Algeria who received a complete polio vaccination series as children may receive a single lifetime booster dose of inactivated polio vaccine; travelers who are unvaccinated or not fully vaccinated should receive a complete polio vaccination series before travel. Children who are not fully vaccinated will be considered for an accelerated vaccination schedule.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Rabies","Dogs infected with rabies are commonly found in Algeria. If rabies exposures occur while in Algeria, rabies vaccines may only be available in larger suburban/urban medical facilities. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Typhoid","Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"Algeria","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Direct travel from United States: Vaccine is not required. Travel from countries with risk for YF virus transmission: Vaccine is required for travelers ≥9 months old; this includes >12-hour airport transits or layovers in countries with risk for YF virus transmission.3 Updated April 23, 2025 See footnotes","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"American Samoa","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to American Samoa. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to American Samoa.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Rabies","Dogs infected with rabies are not commonly found in American Samoa. If rabies exposures occur while in American Samoa, rabies vaccines may only be available in larger suburban/urban medical facilities. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Typhoid","Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"American Samoa","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Vaccine is not required. Updated April 23, 2025","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
